BARRE	L	2	fr
BARREBRAWL	H	0	
BARRECLASS	H	0	
BARRED	S	3	
BARREDANDBOLTED	H	0	
BARREDBARD	H	2	
BARREDOFAVON	H	2	
BARREDOWL	H	2	
BARREFOOT	T	1	
BARREL	W	3	
BARRELALONG	H	1	
BARRELBOLT	H	0	
BARRELCACTUS	H	2	
BARRELCHAIR	H	1	
BARRELCHEST	H	1	
BARRELCHESTED	H	1	
BARRELCUFF	H	0	
BARRELED	S	2	
BARRELFEVER	H	0	
BARRELFUL	S	3	
BARRELFULS	S	2	
BARRELHEAD	H	1	
BARRELHOOP	H	1	
BARRELHOUSE	H	2	
BARRELHOUSEJAZZ	H	1	
BARRELOF	H	1	
BARRELOFFOIL	H	0	
BARRELOFFUN	H	2	
BARRELOFLAUGHS	H	2	
BARRELOFMONKEES	H	0	
BARRELOFMONKEYS	H	2	
BARRELOFOIL	H	0	
BARRELORGAN	H	1	
BARRELORGANS	HS	1	
BARRELOUN	T	0	
BARRELRACE	H	1	
BARRELROLL	H	2	
BARRELROLLS	HS	2	
BARRELS	S	3	
BARRELSIN	H	1	
BARRELSOFMONEY	H	1	
BARRELVAULT	H	2	
BARREN	W	3	
BARRENARROW	H	0	
BARRENBANNER	H	0	
BARRENDANCE	H	0	
BARRENGROUND	H	2	
BARRENGROUNDS	H	2	
BARRENISLET	H	0	
BARRENLY	D	1	
BARRENS	S	2	
BARRES	S	2	
BARRESCUE	H	0	
BARRET	W	1	
BARRETENDER	H	0	
BARRETT	P	2	
BARRETTE	W	2	
BARRETTES	WS	2	
BARRETTS	PS	1	
BARREUL	W	0	
BARRFIGHT	H	0	
BARRHOPS	H	1	
BARRICADE	W	3	
BARRICADES	WS	3	
BARRIE	P	1	
BARRIEHERO	H	0	
BARRIER	W	3	
BARRIERREEF	H	2	
BARRIERS	WS	3	
BARRIERSTOENTRY	H	0	
BARRING	T	3	
BARRINGAMIRACLE	H	1	
BARRINGRILL	H	0	
BARRINGTHERAISE	H	0	
BARRIO	W	2	es
BARRIOBRAVO	H	1	es
BARRIOCHART	H	0	
BARRIOGRANDE	H	1	es
BARRIOS	WS	2	es
BARRIS	P	0	
BARRISTER	W	3	
BARRISTERS	WS	3	
BARRMADEBARMAID	H	0	
BARRMAID	H	1	
BARRNACLES	C	0	
BARRON	P	2	
BARRONS	PS	2	
BARROOM	H	3	
BARROOMBRAWL	H	2	
BARROOMS	HS	3	
BARROW	W	3	
BARROWPARKER	H	0	
BARROWS	WS	3	
BARRRINSES	C	0	
BARRS	PS	1	
BARRTAB	H	1	
BARRTENDED	C	1	
BARRTENDERS	C	1	
BARRWASTELAND	H	0	
BARRY	P	3	
BARRYBONDS	PN	2	
BARRYBOSTWICK	PN	1	
BARRYCOLDWATER	PN	0	
BARRYCORBIN	PN	1	
BARRYDHATCHET	H	0	
BARRYDILLER	PN	1	
BARRYFITZGERALD	PN	0	
BARRYGIBB	PN	2	
BARRYGOLDWATER	PN	0	
BARRYGREENSTEIN	PN	0	
BARRYKEOGHAN	PN	1	
BARRYLARKIN	PN	1	
BARRYLEAVES	PN	0	
BARRYLEVINSON	PN	0	
BARRYLYNDON	PN	0	
BARRYMANIL	PN	0	
BARRYMANILOW	PN	2	
BARRYMAOOW	PN	0	
BARRYMCGUIRE	PN	0	
BARRYMILOW	PN	0	
BARRYMORE	PN	2	
BARRYMORES	PNS	2	
BARRYMORSE	PN	0	
BARRYONLUGGAGE	H	0	
BARRYS	PS	2	
BARRYSANDERS	PN	2	
BARRYSBOND	H	0	
BARRYSHABANEROS	H	0	
BARRYSWITZER	PN	1	
BARRYTONES	H	2	
BARRYW	A	0	
BARRYWHITE	PN	2	
BARRYXWATER	PN	0	
BARRYZITO	PN	1	
BARS	S	4	
BARSALES	H	1	
BARSANDGRILLS	H	2	
BARSCALE	H	1	
BARSCENE	H	1	
BARSEAT	H	1	
BARSEATS	H	1	
BARSELLONA	H	0	
BARSERED	H	0	
BARSET	H	0	
BARSETS	H	0	
BARSINISTER	H	2	
BARSNEAK	H	0	
BARSOAP	H	0	
BARSOAPS	H	0	
BARSTAFF	H	1	
